id,value,feed_id,created_at,lat,lon,ele
0FR1HB1575WKBS9TDH6VXH3Z01,1,2936999,2024-11-18 02:19:47 UTC,,,
0FR1HB20QA30Y4XXSGTYARPVHF,0,2936999,2024-11-18 02:19:50 UTC,,,
0FR1HB2M2RCR2NMXMQTDXAK4T2,1,2936999,2024-11-18 02:19:52 UTC,,,
0FR1HB3069NEVA2R17TX4C73AA,0,2936999,2024-11-18 02:19:53 UTC,,,
0FR39K61EJ7XQAB82GKVQ8MMK8,1,2936999,2024-11-20 06:45:47 UTC,,,
0FR39K6VFF1MAK3FFJVYAJVCCA,0,2936999,2024-11-20 06:45:50 UTC,,,
0FR39K7BQ2Y7TRVMVQKSAGA4X4,1,2936999,2024-11-20 06:45:51 UTC,,,
0FR39K980NS61BAHE32P8W25XZ,0,2936999,2024-11-20 06:45:57 UTC,,,
0FR39K9YDMR127XQMHRT9SR28Q,1,2936999,2024-11-20 06:46:00 UTC,,,
0FR39KA97B66DD4J0YV6N36Q9P,0,2936999,2024-11-20 06:46:01 UTC,,,
0FR39SWV9AK50H7NVSX6Y362FG,1,2936999,2024-11-20 06:57:31 UTC,,,
0FR39TYJ06DVA8DG84TE4ZMYAQ,0,2936999,2024-11-20 06:59:21 UTC,,,
0FR39TYQSJFWXTXETDCAKPHJHS,1,2936999,2024-11-20 06:59:22 UTC,,,
0FR39TZGVVSEJQSW3MMSDYYJDH,0,2936999,2024-11-20 06:59:24 UTC,,,
0FR39V01BJ6NM450MKXRVQ35E1,1,2936999,2024-11-20 06:59:26 UTC,,,
0FR39VN4R431ECMG9NSC4NWCAP,0,2936999,2024-11-20 07:00:35 UTC,,,
0FR39VNPT31ZKXCX4DGVRQTVZ5,1,2936999,2024-11-20 07:00:37 UTC,,,
0FR39VXVYF5C3AQC3HQBYCCN5F,0,2936999,2024-11-20 07:01:04 UTC,,,
0FR39VY276DGWYHW9Q7HJ7F110,1,2936999,2024-11-20 07:01:04 UTC,,,
0FR39VZ00N9T9HAR8T5RZ7VVY5,0,2936999,2024-11-20 07:01:08 UTC,,,
0FR39W15GRP1H73N35053405RE,1,2936999,2024-11-20 07:01:15 UTC,,,
0FR39YJTQDNXBHACWHZJC0YW7W,0,2936999,2024-11-20 07:05:42 UTC,,,
0FR39YK1DGZPDJVD6W7BQAW9MW,1,2936999,2024-11-20 07:05:43 UTC,,,
0FR3A2WC4E5VAK6CVN4TSM4B8K,0,2936999,2024-11-20 07:13:13 UTC,,,
0FR3A2WC4JR3AMF18BRD7GGCN3,0,2936999,2024-11-20 07:13:13 UTC,,,
0FR3A2WC51W8EE02B78GCT5M3F,0,2936999,2024-11-20 07:13:13 UTC,,,
0FR3A2WC587RH8WBR81DPFX4EQ,0,2936999,2024-11-20 07:13:13 UTC,,,
0FR3A2XMEH4B68PC5CDP90V8FW,1,2936999,2024-11-20 07:13:17 UTC,,,
0FR3A419ZAY96EJ8WWR6WWG7R8,0,2936999,2024-11-20 07:15:14 UTC,,,
0FR3A4240ARK8Y39S00A7SMN92,1,2936999,2024-11-20 07:15:17 UTC,,,
0FR3A4XEQ1VGVZHNZ5T60XFERB,0,2936999,2024-11-20 07:16:46 UTC,,,
0FR3A4XZJ0VKFX2SRDG6446RXW,1,2936999,2024-11-20 07:16:48 UTC,,,
0FR3A55WPR5XRZJKTAZ73AVVH0,0,2936999,2024-11-20 07:17:14 UTC,,,
0FR3A5654XHX64YD3EJ3X5JX4S,1,2936999,2024-11-20 07:17:15 UTC,,,
0FR3A5AQRDM5Q7QM4XW4F96RKH,0,2936999,2024-11-20 07:17:30 UTC,,,
0FR3A5BQVCTAQFFQRJ5AD8760C,1,2936999,2024-11-20 07:17:33 UTC,,,
0FR3A5DN0CV0WZJRVAED7QQQVQ,0,2936999,2024-11-20 07:17:39 UTC,,,
0FR3A5E4RYN40AXGY51S3K89V6,1,2936999,2024-11-20 07:17:41 UTC,,,
0FR3A5FMBZS8GN74AQRE2EEZ0X,0,2936999,2024-11-20 07:17:46 UTC,,,
0FR3A5G1CX7KMTEGE2N5P8CHXY,1,2936999,2024-11-20 07:17:47 UTC,,,
0FR3A5KJ8D7CRJWT4KTXFRHTHB,0,2936999,2024-11-20 07:17:59 UTC,,,
0FR3A5M3K4T3T4CC7G9N116CA0,1,2936999,2024-11-20 07:18:00 UTC,,,
0FR3A5S2K4GD012GBZXK103CXP,0,2936999,2024-11-20 07:18:17 UTC,,,
0FR3A5SHRHDFZ1XBNBEZRQD5KJ,1,2936999,2024-11-20 07:18:18 UTC,,,
0FR3AGQYM1PJ0VQMYX8AJD61W0,0,2936999,2024-11-20 07:37:26 UTC,,,
0FR3AGRYVPA9HJQE498TPQDETG,1,2936999,2024-11-20 07:37:30 UTC,,,
0FR3AHH6QNW5P5FV73AT0XRM02,0,2936999,2024-11-20 07:38:49 UTC,,,
0FR3AHJ2BMY6P87101X7PAS764,1,2936999,2024-11-20 07:38:52 UTC,,,
0FR4GFXVQPD5VM1X5R9B89BF0H,0,2936999,2024-11-21 19:01:08 UTC,,,
0FR4GJAVKCNNEGKQJ0V6KKSNZ0,1,2936999,2024-11-21 19:05:20 UTC,,,
0FR4GJC72CWCNNJAEJNJP5NAYA,0,2936999,2024-11-21 19:05:25 UTC,,,
0FR4GJD7J3M0D8JC1M2G0QMEHB,1,2936999,2024-11-21 19:05:28 UTC,,,
0FR4GK191RKV28B5B2BGVJNJR6,0,2936999,2024-11-21 19:06:34 UTC,,,
0FR4GK1QEVZCGAMWQZQJ1XDHJQ,1,2936999,2024-11-21 19:06:35 UTC,,,
0FR4GK693X1NNVK8RFJJX3C3E4,0,2936999,2024-11-21 19:06:50 UTC,,,
0FR4GK6EYF80NJCHW1HGHZ3VBQ,1,2936999,2024-11-21 19:06:51 UTC,,,
0FR4HEMP9EXWBTBWHQE9PVWCME,0,2936999,2024-11-21 19:54:48 UTC,,,
0FR4HESZ52ERG6KW315WHVZHZF,1,2936999,2024-11-21 19:55:06 UTC,,,
0FR4HETM0SR6XPMM1N41AAB5B5,0,2936999,2024-11-21 19:55:08 UTC,,,
0FR4HEV191628NBXGR09G9JXTC,1,2936999,2024-11-21 19:55:09 UTC,,,
0FR4HF37ZQV8MQCE58SQ76SVV8,0,2936999,2024-11-21 19:55:36 UTC,,,
0FR4HF4T72Y0VY26C1A4PQ3ESJ,1,2936999,2024-11-21 19:55:41 UTC,,,
0FR4HF8FHE809D2H5XGM86EH9F,0,2936999,2024-11-21 19:55:53 UTC,,,
0FR4HFQ2GYJRHT4GZWQBF600K6,1,2936999,2024-11-21 19:56:41 UTC,,,
0FR4J02A0CB2WXQJSBYWJW3FEH,1,2936999,2024-11-21 20:25:16 UTC,,,
0FR4J02A0CGQWZRY5PDCYX0SB8,1,2936999,2024-11-21 20:25:16 UTC,,,
0FR4J02A0HG5G2TJJ8VWZA1595,1,2936999,2024-11-21 20:25:16 UTC,,,
0FR4J02A0RTMHB4AGF5V25H9RK,1,2936999,2024-11-21 20:25:16 UTC,,,
0FR4J02A17PW13YWK4KNQ3HQ69,1,2936999,2024-11-21 20:25:16 UTC,,,
0FR4J02A1F4G0RCGJXE56EYT97,1,2936999,2024-11-21 20:25:16 UTC,,,
0FR4J02A2AN73GCE67YFVG3W2H,1,2936999,2024-11-21 20:25:16 UTC,,,
0FR4J0AYVV7RB8A3QWVE5Z9B9K,0,2936999,2024-11-21 20:25:44 UTC,,,
0FR4J0BE3108TS5RYCFKQR2EMB,1,2936999,2024-11-21 20:25:45 UTC,,,
0FR4J18MWZM8W0ZN8BS9CJD773,0,2936999,2024-11-21 20:27:21 UTC,,,
0FR4J27GPCCT2XXFYDZWS7M801,1,2936999,2024-11-21 20:29:02 UTC,,,
0FR4J2CPCJBCDTTNZAD036MV5A,0,2936999,2024-11-21 20:29:19 UTC,,,
0FR4J8DJ3BMS56YTDBP89EJ7EJ,1,2936999,2024-11-21 20:39:51 UTC,,,
0FR4J8M3VANVTTC29VC7ZFZYFP,0,2936999,2024-11-21 20:40:13 UTC,,,
0FR4J8MW1J29VTFYEN8FDC8RR1,1,2936999,2024-11-21 20:40:15 UTC,,,
0FR4J9FYPD74BTJBK8N3B67PDZ,0,2936999,2024-11-21 20:41:44 UTC,,,
0FR4J9KDGEXZRTCJKZHCG4RNYC,1,2936999,2024-11-21 20:41:55 UTC,,,
0FR4J9MJN7XXRQVKT94C8582Z9,0,2936999,2024-11-21 20:41:59 UTC,,,
0FR4J9NJ9GWBPAV84Z9SF9478S,1,2936999,2024-11-21 20:42:02 UTC,,,
0FR4J9QGBJQ0KCZEBPSZ309SJ1,0,2936999,2024-11-21 20:42:09 UTC,,,
0FR4J9R3W0MCM7X6XHD0YVKE2S,1,2936999,2024-11-21 20:42:11 UTC,,,
0FR4J9S4YZ4R8HC2XCDWSTGTM3,0,2936999,2024-11-21 20:42:14 UTC,,,
0FR4J9WEG589HBX2XTZ9CQ6C1V,1,2936999,2024-11-21 20:42:25 UTC,,,
0FR4J9XRCQSSBQA87ARQHKRYVC,0,2936999,2024-11-21 20:42:29 UTC,,,
0FR4JKE4CR655Z6JFB8XQDQAC7,1,2936999,2024-11-21 20:59:07 UTC,,,
0FR4JKS9YB406QYWJ0MR7MPMXJ,0,2936999,2024-11-21 20:59:43 UTC,,,
0FR4JN2VWKVYXX4MEJMA6N5F6R,1,2936999,2024-11-21 21:01:59 UTC,,,
0FR4JNKFWTDK587BHNP2A8HNPJ,0,2936999,2024-11-21 21:02:54 UTC,,,
0FR4JNKVNXP0N9YD8SA6NHYT0A,1,2936999,2024-11-21 21:02:55 UTC,,,
0FR4JNPNXQJWAPE5HR1VV3E922,0,2936999,2024-11-21 21:03:04 UTC,,,
0FR4JNQ76QBGE4Y4PR9K10JGH2,1,2936999,2024-11-21 21:03:06 UTC,,,
0FR4JPQKW32PJ1ASDXHCG90JTD,0,2936999,2024-11-21 21:04:52 UTC,,,
0FR4JPR0HAZ1CBARHKVDDEERKR,1,2936999,2024-11-21 21:04:54 UTC,,,
0FR4JPRSAZ6A96SK3KE6APBXW2,0,2936999,2024-11-21 21:04:56 UTC,,,
0FR4JR3GKCFRMK9Q95RFQHQFD3,1,2936999,2024-11-21 21:07:16 UTC,,,
0FR4JR3PHYRBZME1WKW3SR1B0T,0,2936999,2024-11-21 21:07:17 UTC,,,
0FR4JRXD2JYVCA11HVNR850BB0,1,2936999,2024-11-21 21:08:41 UTC,,,
0FR4JRXKSV1WZ1CNT0M29VB4CM,0,2936999,2024-11-21 21:08:42 UTC,,,
0FR4K05049GY4QD2CR9P7QY02A,1,2936999,2024-11-21 21:21:20 UTC,,,
0FR4K05C19K45H1452H4WVBAPX,0,2936999,2024-11-21 21:21:21 UTC,,,
0FR4K05PGV32P26NKPEEYPD7M7,1,2936999,2024-11-21 21:21:22 UTC,,,
0FR4K0NP06HEZSXD7HRBS3Z78P,0,2936999,2024-11-21 21:22:14 UTC,,,
0FR4K0YTJNN0XHE0Z6YPCG0GB8,1,2936999,2024-11-21 21:22:44 UTC,,,
0FR4K0Z9QNWCD7J57BHQKMJSJY,0,2936999,2024-11-21 21:22:46 UTC,,,
0FR4K2QYZYQY78TS24TY5JMC58,1,2936999,2024-11-21 21:25:52 UTC,,,
0FR4K2RQ0ERRW43NNBNEXSJPNB,0,2936999,2024-11-21 21:25:54 UTC,,,
0FR4K73N86H84TV3PFZBQPPW1G,1,2936999,2024-11-21 21:33:29 UTC,,,
0FR4K7447JSYPH99VYRHMX2DBQ,0,2936999,2024-11-21 21:33:31 UTC,,,
0FR4K74EHZYADNHDXFX531J5NH,1,2936999,2024-11-21 21:33:32 UTC,,,
0FR4K74VGJ4XY2Q4D4N0XP1GNB,0,2936999,2024-11-21 21:33:33 UTC,,,
0FR4K754X6FXZNJ2X46NPVAGDB,1,2936999,2024-11-21 21:33:34 UTC,,,
0FR4K75F6EQYRHRCNSXR8GD73K,0,2936999,2024-11-21 21:33:35 UTC,,,
0FR4K7B2CBW2EXR4A73E6P70F1,1,2936999,2024-11-21 21:33:54 UTC,,,
0FR4K7BJZTPE56ZFZQGCPR4K5C,0,2936999,2024-11-21 21:33:55 UTC,,,
0FR4K7C21WV0FV5NZT0W1DNXRS,1,2936999,2024-11-21 21:33:57 UTC,,,
0FR4K7C7TZMZYKJPTXGDTAWKQX,0,2936999,2024-11-21 21:33:58 UTC,,,
0FR4K9CDC9RC6M7XQFQRDCVCFE,1,2936999,2024-11-21 21:37:28 UTC,,,
0FR4K9CSTSH22WF44R9438EDNG,0,2936999,2024-11-21 21:37:29 UTC,,,
0FR4K9D6D8H7FB8YC19W6KS5QR,1,2936999,2024-11-21 21:37:30 UTC,,,
0FR4K9DNEZT40NQ6QNJ3NYVK84,0,2936999,2024-11-21 21:37:32 UTC,,,
0FR4KAJ964E7949QDQ2TDZKPW2,1,2936999,2024-11-21 21:39:32 UTC,,,
0FR4KAJHPTJ68MT7V50A2M29H6,0,2936999,2024-11-21 21:39:33 UTC,,,
0FR4KAJX6KCBPPJ37DKX21JG90,1,2936999,2024-11-21 21:39:34 UTC,,,
0FR4KAKA5GENVSZM612A5Q559T,0,2936999,2024-11-21 21:39:35 UTC,,,
0FR4KAKX6M19944PDEJGY28K7W,1,2936999,2024-11-21 21:39:37 UTC,,,
0FR4KAMAB4VPAHYPRVWW2KWBWF,0,2936999,2024-11-21 21:39:39 UTC,,,
0FR4KNXJKG9T2GZBS8X7G8DYD2,1,2936999,2024-11-21 21:59:22 UTC,,,
0FR4KNXX44H298PZX5K93BSAEB,0,2936999,2024-11-21 21:59:23 UTC,,,
0FR4KWT4AH3BX2HZAQ04R523SR,1,2936999,2024-11-21 22:11:25 UTC,,,
0FR4KWTM438M2VN1R5H3090RCR,0,2936999,2024-11-21 22:11:27 UTC,,,
0FR4KWW2QT2WMZZSHBHTDA8EVK,1,2936999,2024-11-21 22:11:31 UTC,,,
0FR4KWYV8YKVCFT68017MH9R87,0,2936999,2024-11-21 22:11:41 UTC,,,
0FR4KZHVS5GSGKW3CF6M47MDR7,1,2936999,2024-11-21 22:16:13 UTC,,,
0FR4KZJA7MMP44K9R251W38AFF,0,2936999,2024-11-21 22:16:14 UTC,,,
0FR4KZJVW19RXWA7PXJ1JQW0ZP,1,2936999,2024-11-21 22:16:16 UTC,,,
0FR4KZK7A0C2KKQ230K2DD946F,0,2936999,2024-11-21 22:16:17 UTC,,,
0FR4KZKRDQXC03C5XK6JC965XJ,1,2936999,2024-11-21 22:16:19 UTC,,,
0FR4KZPBNNZRD2QQNJN3WK85D8,0,2936999,2024-11-21 22:16:27 UTC,,,
0FR4M08T3NE4R2GSXYZJ8VQ2K8,1,2936999,2024-11-21 22:17:28 UTC,,,
0FR4M091GESDMZ65RSDVYMZ8WB,0,2936999,2024-11-21 22:17:28 UTC,,,
0FR4M098WNAMY3FFDNG8WXQK48,1,2936999,2024-11-21 22:17:29 UTC,,,
0FR4M09G98ECCVFHDARNEZ0Y6R,0,2936999,2024-11-21 22:17:30 UTC,,,
0FR4M0H18PJG6XR7MAP50X501W,1,2936999,2024-11-21 22:17:55 UTC,,,
0FR4M0H8T38VHQ4668YMF5MFSS,0,2936999,2024-11-21 22:17:55 UTC,,,
0FR4M3NFDW2DKMNXA6XM4345PA,1,2936999,2024-11-21 22:23:24 UTC,,,
0FR4M3NSPAJENF98RAZFRCSZFJ,0,2936999,2024-11-21 22:23:25 UTC,,,
0FR4M3P1TAQ0ETZ9ZMMHPSV9W5,1,2936999,2024-11-21 22:23:26 UTC,,,
0FR4M3R17ZHZZNJKXB4QK2XGPA,0,2936999,2024-11-21 22:23:32 UTC,,,
0FR4M3SASQAEBJZH539F6CC0ZG,1,2936999,2024-11-21 22:23:36 UTC,,,
0FR4M3SHGVPCE4H9XRQC7Q3ZX9,0,2936999,2024-11-21 22:23:37 UTC,,,
0FR4M5D3F8KJ714SS3Y66ANP0J,1,2936999,2024-11-21 22:26:26 UTC,,,
0FR4M5EZHBDA1053AF9A9K1MER,0,2936999,2024-11-21 22:26:32 UTC,,,
0FR4M5FEJB5WJPXJGJW0XRJ3HJ,1,2936999,2024-11-21 22:26:34 UTC,,,
0FR4M5TF36CPTCTH6TR552KADT,0,2936999,2024-11-21 22:27:10 UTC,,,
0FR4M5TM27TZTA46DW4YX15AGV,1,2936999,2024-11-21 22:27:10 UTC,,,
0FR4M5TZN65SW166NEZQS9S6K8,0,2936999,2024-11-21 22:27:12 UTC,,,
0FR4M5VAJF1TDEEKDV83W12M7Y,1,2936999,2024-11-21 22:27:13 UTC,,,
0FR4M8CYJPYYHFANX06V5D58R0,0,2936999,2024-11-21 22:31:40 UTC,,,
0FR4M8DRV5FVDY4M8ZN32P04SR,1,2936999,2024-11-21 22:31:43 UTC,,,
0FR4M8EPQXF71GTRJS1G0GAW7J,0,2936999,2024-11-21 22:31:46 UTC,,,
0FR4M8F5FE58G17D3GEXBRC8MB,1,2936999,2024-11-21 22:31:47 UTC,,,
0FR4M8N8YABT0BJ15BYXGFK2NT,0,2936999,2024-11-21 22:32:07 UTC,,,
0FR4M8NN8S5RARZ0PFNB0TTW9G,1,2936999,2024-11-21 22:32:09 UTC,,,
0FR4M8P09H5KH18EJDQKVDNA08,0,2936999,2024-11-21 22:32:10 UTC,,,
0FR4M8P86CC1MCXD33G9C5EMEV,1,2936999,2024-11-21 22:32:11 UTC,,,
0FR4M8PFJ240222MJN389SM5W2,0,2936999,2024-11-21 22:32:11 UTC,,,
0FR4MBDK1F37W2PPSV5H658X2K,1,2936999,2024-11-21 22:36:57 UTC,,,
0FR4MBEHZ32NKQJ19BQHTJH224,0,2936999,2024-11-21 22:37:00 UTC,,,
0FR4MBF8BZJ61HVJHXVBNCDZAV,1,2936999,2024-11-21 22:37:02 UTC,,,
0FR4MBFVFDWM7R60AD4C6YV09J,0,2936999,2024-11-21 22:37:04 UTC,,,
0FR4MBGBYAV4WDTE2VK4XZHXY0,1,2936999,2024-11-21 22:37:06 UTC,,,
0FR4MDKWVWNSC4H3AF8VFE5E0T,0,2936999,2024-11-21 22:40:47 UTC,,,
0FR4MDM7BGB5QJ08S65V8MQH3J,1,2936999,2024-11-21 22:40:48 UTC,,,
0FR4ME7B56ZK2JWSPQCDCRNCJ2,0,2936999,2024-11-21 22:41:51 UTC,,,
0FR4ME7TYS8CQC9SXTAWVD1XVN,1,2936999,2024-11-21 22:41:53 UTC,,,
0FR4ME86XEP3QS5WTDM31MH99X,0,2936999,2024-11-21 22:41:54 UTC,,,
0FR4ME901WFTXVE2CH63W7J89H,1,2936999,2024-11-21 22:41:56 UTC,,,
0FR4ME9CRN6RK6KRDXX1XVZ40D,0,2936999,2024-11-21 22:41:58 UTC,,,
0FR4ME9YEZBXQ88XCH7XABPE95,1,2936999,2024-11-21 22:41:59 UTC,,,
0FR4MEAEFYA10KWJR03RFSSXZW,0,2936999,2024-11-21 22:42:01 UTC,,,
0FR4MEBB5220REKKA4PDK5RXP5,1,2936999,2024-11-21 22:42:04 UTC,,,
0FR4MED7HXYSA5252W3R5M2CNY,0,2936999,2024-11-21 22:42:10 UTC,,,
0FR4MEDN6VF22AS9N8MZR548G2,1,2936999,2024-11-21 22:42:12 UTC,,,
0FR4MEEE9SEHT8KW45MTJ8TVM1,0,2936999,2024-11-21 22:42:14 UTC,,,
0FR4MG466VR8K1BHCF8A0TCE1W,1,2936999,2024-11-21 22:45:10 UTC,,,
0FR4MG4NVZTFDS6WPCC25N9F3R,0,2936999,2024-11-21 22:45:12 UTC,,,
0FR4MG5WVHDWSG25269JJ13JG9,1,2936999,2024-11-21 22:45:16 UTC,,,
0FR4MG6DTX32KG4QFSZ2HA2MZX,0,2936999,2024-11-21 22:45:18 UTC,,,
0FR4MG73PZ0DYECCFJRF3Q026N,1,2936999,2024-11-21 22:45:20 UTC,,,
0FR4MG7FFK0YMQXMQ6SFAG27MQ,0,2936999,2024-11-21 22:45:21 UTC,,,
0FR4MG7X2VWRGZN8F4RW2YQ6RD,1,2936999,2024-11-21 22:45:22 UTC,,,
0FR4MG8910Y260GYT1XATB472Z,0,2936999,2024-11-21 22:45:24 UTC,,,
0FR4MG8SDPF7SYXYQH3JKG60X4,1,2936999,2024-11-21 22:45:25 UTC,,,
0FR4MG9AJ0XTMXN5XHQ232T75B,0,2936999,2024-11-21 22:45:27 UTC,,,
0FR4MG9PAT4N7V1W84NMJCKTFD,1,2936999,2024-11-21 22:45:28 UTC,,,
0FR4MGAYKQ17GS0R36VRVTHH5P,0,2936999,2024-11-21 22:45:32 UTC,,,
0FR4MGBR2RYNRKQANZNR5XYDF6,1,2936999,2024-11-21 22:45:35 UTC,,,
0FR4MHNDMGH5J7C6K4V03WGRNZ,0,2936999,2024-11-21 22:47:52 UTC,,,
0FR4MHNV4KK38BSCJS9CRYED75,1,2936999,2024-11-21 22:47:53 UTC,,,
0FR4MHP71G0Z3Y9P4CV2BDST79,0,2936999,2024-11-21 22:47:54 UTC,,,
0FR4MHPS0RWB908E7SFBBMTDQP,1,2936999,2024-11-21 22:47:56 UTC,,,
0FR4MHRYKQZH4P88R7KA043SEZ,0,2936999,2024-11-21 22:48:03 UTC,,,
0FR4MHS9YTD64N6ZB8RBYP8Z8A,1,2936999,2024-11-21 22:48:04 UTC,,,
0FR4MHSPRG1PT7GEJZTHH9CJB9,0,2936999,2024-11-21 22:48:06 UTC,,,
0FR4MHTAFQBZHDG096ZX53YQ44,1,2936999,2024-11-21 22:48:08 UTC,,,
0FR4MJE44KFZ6V7KJYKX87SJ4T,0,2936999,2024-11-21 22:49:13 UTC,,,
0FR4MJEJW44GMQGW839CVJVZCQ,1,2936999,2024-11-21 22:49:14 UTC,,,
0FR4MJEXBPR75F361W92JH5PPM,0,2936999,2024-11-21 22:49:15 UTC,,,
0FR4MJF93H32JSMF38278RSZFT,1,2936999,2024-11-21 22:49:16 UTC,,,
0FR4MJFNA4C98DAFFZ5RRNZ2KY,0,2936999,2024-11-21 22:49:18 UTC,,,
0FR4MJG8RA1WK46NFW019XE9EA,1,2936999,2024-11-21 22:49:20 UTC,,,
0FR4MJZZ9J49MGCS2R8P2ASZ2M,0,2936999,2024-11-21 22:50:11 UTC,,,
0FR4MK0DBH5GWV6G7MB3ANDGQZ,1,2936999,2024-11-21 22:50:13 UTC,,,
0FR4MKQW65GPYRM2EQT080NZ95,0,2936999,2024-11-21 22:51:29 UTC,,,
0FR4MKR7DBKAW4BJ7TJ1CBQGNM,1,2936999,2024-11-21 22:51:31 UTC,,,
0FR4MKRJQZMMQG13JYAMRDGYDD,0,2936999,2024-11-21 22:51:32 UTC,,,
0FR4MKS09RZNGD18DK9HV3XG29,1,2936999,2024-11-21 22:51:33 UTC,,,
0FR4MKSSF8749CKJ30W6NQE3V6,0,2936999,2024-11-21 22:51:36 UTC,,,
0FR4MKT4WCY1QJK8QZ7B922Z07,1,2936999,2024-11-21 22:51:37 UTC,,,
0FR4MKX7J4S0HKD84B7CFV9QCG,0,2936999,2024-11-21 22:51:47 UTC,,,
0FR4MKXJCTCYCFS1MNG7F8Q9AQ,1,2936999,2024-11-21 22:51:48 UTC,,,
0FR4MKXWV0YCY9RBHEDSW91CET,0,2936999,2024-11-21 22:51:49 UTC,,,
0FR4MKY8KQD6F2R67PNQSQZWW7,1,2936999,2024-11-21 22:51:50 UTC,,,
0FR4MM0M6EFW2F5Q86VP41K0FE,0,2936999,2024-11-21 22:51:58 UTC,,,
0FR4MM0ZGW2XD1YFBZCTG9H2PK,1,2936999,2024-11-21 22:51:59 UTC,,,
0FR4MM19HWBCX1DWGS30Z3GA5H,0,2936999,2024-11-21 22:52:00 UTC,,,
0FR4MM1V0EDNPDE0W95M7KC89R,1,2936999,2024-11-21 22:52:02 UTC,,,
0FR4MM259R688AGKNBJK9EX41M,0,2936999,2024-11-21 22:52:03 UTC,,,
0FR4MM2ESNXQ0VPA3V4JRD44MP,1,2936999,2024-11-21 22:52:04 UTC,,,
0FR4MNBX2ABT8Y0J3XTCN2M63J,0,2936999,2024-11-21 22:54:20 UTC,,,
0FR4MNC97HYVWCC2NGAWPHCPWK,1,2936999,2024-11-21 22:54:21 UTC,,,
0FR4MNCJM1FP098CVYYYSQY2WV,0,2936999,2024-11-21 22:54:22 UTC,,,
0FR4MNCW9VBCABRRW8W8522ACK,1,2936999,2024-11-21 22:54:23 UTC,,,
0FR4MNDBFXKQCXPTP0C4F40MJT,0,2936999,2024-11-21 22:54:25 UTC,,,
0FR4MNE5FA3E5EE1MHQES572HE,1,2936999,2024-11-21 22:54:27 UTC,,,
0FR4MNEJW4EV81D2A79J0TPATE,0,2936999,2024-11-21 22:54:29 UTC,,,
0FR4MNEYKRH255TQKR30DNZPE3,1,2936999,2024-11-21 22:54:30 UTC,,,
0FR4MP5SKEQ8TEFMBPZ9S0MD20,0,2936999,2024-11-21 22:55:45 UTC,,,
0FR4MP632Q04SH2QNXXKYJ6S0M,1,2936999,2024-11-21 22:55:46 UTC,,,
0FR4MP6EDTPB074HY51B47WDRG,0,2936999,2024-11-21 22:55:47 UTC,,,
0FR4MP6W73H2E5Q3FC0RBYQ648,1,2936999,2024-11-21 22:55:48 UTC,,,
0FR4MP7AJBBK04AK42R6KN64GR,0,2936999,2024-11-21 22:55:50 UTC,,,
0FR4MP7NGH0BVDM2DJ66J954Y0,1,2936999,2024-11-21 22:55:51 UTC,,,
0FR4MP8605E3JBF0CJS2Z33QK0,0,2936999,2024-11-21 22:55:53 UTC,,,
0FR4MP8JQ4CRYE2CRHC84B47FB,1,2936999,2024-11-21 22:55:54 UTC,,,
